report_date,killed
2024-09-28,52
2024-09-29,9
2024-09-30,20
2024-10-01,23
2024-10-02,51
2024-10-03,99
2024-10-04,14
2024-10-05,23
2024-10-06,45
2024-10-07,39
2024-10-08,56
2024-10-09,45
2024-10-10,55
2024-10-11,61
2024-10-12,49
2024-10-13,52
2024-10-14,62
2024-10-15,55
2024-10-16,65
2024-10-17,29
2024-10-18,62
2024-10-19,19
2024-10-20,84
2024-10-21,0
2024-10-22,115
2024-10-23,74
2024-10-24,55
2024-10-25,0
2024-10-26,77
2024-10-27,0
2024-10-28,96
2024-10-29,41
2024-10-30,102
2024-10-31,41
2024-11-01,55
2024-11-02,55
2024-11-03,27
2024-11-04,33
2024-11-05,17
2024-11-06,0
2024-11-07,78
2024-11-08,39
2024-11-09,44
2024-11-10,51
2024-11-11,0
2024-11-12,62
2024-11-13,47
2024-11-14,24
2024-11-15,28
2024-11-16,35
2024-11-17,47
2024-11-18,76
2024-11-19,50
2024-11-20,13
2024-11-21,71
2024-11-22,0
2024-11-23,120
2024-11-24,35
2024-11-25,24
2024-11-26,14
2024-11-27,33
2024-11-28,48
