통계표,계정항목,측정항목,단위,변환,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(시가)","평균자료","원","원자료","1,368.50","1,364.77","1,381.14","1,382.86","1,352.39","1,333.43","1,364.46","1,394.06","1,435.26","1,456.25","1,445.63","1,457.29","1,442.62"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(고가)","평균자료","원","원자료","1,372.61","1,368.61","1,383.41","1,386.07","1,357.56","1,338.32","1,369.95","1,400.22","1,443.32","1,461.01","1,450.72","1,462.50","1,449.09"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(저가)","평균자료","원","원자료","1,365.76","1,362.12","1,377.15","1,380.40","1,345.72","1,328.28","1,360.99","1,388.37","1,431.82","1,448.50","1,441.24","1,452.69","1,434.25"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(종가 15:30)","평균자료","원","원자료","1,369.25","1,365.05","1,379.95","1,383.37","1,352.87","1,332.76","1,365.37","1,394.32","1,436.78","1,455.50","1,445.58","1,457.92","1,441.92"
